Neighborhood,Latitude,Longitude
Fort Stanton,38.85760000000005,-76.97829999999993
Congress Heights,38.84290000000004,-77.00056999999998
Washington Highlands,38.831980000000044,-76.99699999999996
Bellevue,38.82654000000008,-77.00869999999998
Knox Hill,38.85302000000007,-76.97245999999996
Shipley,38.84781231101012,-76.97464479256304
Douglass,38.84817000000004,-76.97925999999995
Woodland,38.85662000000008,-76.97202999999996
Garfield Heights,38.85234000000003,-76.96793999999994
Near Southeast,38.87807000000004,-76.99950999999999
Capitol Hill,38.88594000000006,-76.99952999999994
Dupont Park,38.872880000000066,-76.96016999999995
Twining,38.87336000000005,-76.96475999999996
Randle Highlands,38.87054000000006,-76.96894999999995
Fairlawn,38.869440000000054,-76.97782999999998
Penn Branch,38.87044000000003,-76.95426999999995
Barry Farm,38.859140000000025,-76.99529999999999
Historic Anacostia,38.863330000000076,-76.98267999999996
Columbia Heights,38.92525000000006,-77.02969999999993
Logan Circle,38.909140000000036,-77.02946999999995
Cardozo,38.91700000000003,-77.02830999999998
Van Ness,38.94320000000005,-77.06496999999996
Forest Hills,38.94969000000003,-77.06227999999999
Georgetown Reservoir,38.912888555281285,-77.09356497837862
Foxhall Village,38.91346000000004,-77.08548999999994
Fort Totten,38.949280000000044,-77.00900999999999
Pleasant Hill,47.61533000000003,-121.92002999999994
Kenilworth,38.90854000000007,-76.93967999999995
Eastland Gardens,38.905620000000056,-76.94261999999998
Deanwood,38.89847000000003,-76.93062999999995
Fort Dupont,38.88712000000004,-76.95038999999997
Greenway,38.88758000000007,-76.95536999999996
Woodland Normanstone,38.92238000000003,-77.06028999999995
Mass. Ave. Heights,38.92255000000006,-77.07449999999994
Naylor Gardens,38.85727000000003,-76.96298999999993
Pleasant Plains,38.93049000000008,-77.02343999999994
Hillsdale,38.86372000000006,-76.99706999999995
Benning Ridge,38.88125000000008,-76.93923999999998
Penn Quarter,38.894352000000026,-77.02327099999997
Chinatown,37.79506428736599,-122.40732973926293
Stronghold,48.44490991806805,-122.85646325037452
South Central,38.93034645005653,-77.07016485856302
Langston,38.899545026430644,-76.97324489568045
Downtown East,38.89981000000006,-77.02320999999995
North Portal Estates,38.99291000000005,-77.04113999999998
Colonial Village,38.98603000000003,-77.03931999999998
Shepherd Park,38.98273000000006,-77.03159999999997
Takoma,38.97778000000005,-77.02290999999997
Lamond Riggs,38.96687000000003,-77.00733999999994
Petworth,38.945620000000076,-77.02523999999994
Brightwood Park,38.957350000000076,-77.02493999999996
Manor Park,38.96434000000005,-77.01612999999998
Brightwood,38.960920000000044,-77.02778999999998
Hawthorne,38.980450000000076,-77.05568999999997
Barnaby Woods,38.975400000000036,-77.05980999999997
Queens Chapel,38.95655000000005,-76.99823999999995
Michigan Park,38.944740000000024,-76.98166999999995
North Michigan Park,38.94777000000005,-76.99495999999994
Woodridge,38.93109000000004,-76.97135999999995
University Heights,38.93725000000006,-76.99158999999997
Brookland,38.93237000000005,-76.98439999999994
Edgewood,38.92559000000006,-76.99978999999996
Skyland,38.85991000000007,-76.97163999999998
Bloomingdale,38.91700000000003,-77.01187999999996
Lincoln Park,38.88927000000007,-76.99087999999995
16th Street Heights,38.930811708068,-76.98254631704926
Fort Lincoln,38.924090000000035,-76.95937999999995
Gateway,38.92086000000006,-76.96369999999996
Langdon,38.92290000000003,-76.97416999999996
Brentwood,38.919790000000035,-76.98641999999995
Eckington,38.91259000000008,-77.00552999999996
Truxton Circle,38.91001000000006,-77.01215999999994
Ivy City,38.91113000000007,-76.98502999999994
Trinidad,38.90547000000004,-76.98465999999996
Arboretum,38.914280000000076,-76.97214999999994
Carver,41.835214360871454,-70.72346193259212
Mount Vernon Triangle,38.901947000000064,-77.01659999999998
North Capitol Street,38.90022000000005,-77.01254999999998
Downtown,38.89981000000006,-77.02320999999995
Connecticut Avenue,38.91436402122569,-77.04615485549894
George Washington University,38.900510000000054,-77.05011999999994
Foggy Bottom,38.896780000000035,-77.05012999999997
West End,38.90637000000004,-77.04880999999995
Monumental Core,38.90163000000007,-77.04035999999996
Georgetown,38.905020000000036,-77.06279999999998
Burleith,38.91493000000003,-77.07278999999994
Southwest Employment Area,38.88498000000004,-77.02189999999996
Southwest,38.88248874624317,-77.02736861353918
Buzzard Point,38.86888000000005,-77.01063999999997
Fort McNair,38.885273537079456,-76.99292556242688
Chevy Chase,38.961010000000044,-77.07032999999996
Friendship Heights,38.95688000000007,-77.08374999999995
North Cleveland Park,38.943160000000034,-77.07265999999998
Tenleytown,38.94915000000003,-77.08619999999996
American University Park,38.94924000000003,-77.09060999999997
Spring Valley,38.93979000000007,-77.09918999999996
Cathedral Heights,38.93351000000007,-77.07970999999998
McLean Gardens,38.93745000000007,-77.07566999999995
Cleveland Park,38.936300000000074,-77.06343999999996
Woodley Park,38.928510000000074,-77.05621999999994
Glover Park,38.920690000000036,-77.07745999999997
Wesley Heights,38.931350000000066,-77.08741999999995
Foxhall Crescents,38.920240000000035,-77.09255999999993
Palisades,38.93151000000006,-77.10391999999996
Kalorama Heights,38.91261000000003,-77.04816999999997
Adams Morgan,38.920330000000035,-77.04404999999997
Dupont Circle,38.911140000000046,-77.04246999999998
Lanier Heights,38.92548000000005,-77.04203999999999
Mount Pleasant,38.93235000000004,-77.04158999999999
Park View,38.93223000000006,-77.02152999999998
Le Droit Park,38.915940000000035,-77.01664999999997
Howard University,38.922660000000064,-77.01889999999997
Near Northeast,38.90311000000003,-77.00054999999998
Stanton Park,38.89608000000004,-76.99335999999994
Kingman Park,38.89479000000006,-76.97878999999995
Hill East,38.88578000000007,-76.98688999999996
Navy Yard,38.87489000000005,-77.00335999999999
Mayfair,38.899910000000034,-76.95215999999994
River Terrace,38.89446000000004,-76.95748999999995
Burrville,38.899910000000034,-76.92146999999994
NE Boundary,38.895800000000065,-76.91845999999998
Benning,38.895050000000026,-76.94919999999996
Grant Park,38.89292000000006,-76.92281999999994
Central NE,38.930670625024526,-76.96703083163966
Lincoln Heights,38.896750000000054,-76.92986999999994
Capitol View,38.889710000000036,-76.92095999999998
Marshall Heights,38.886010000000056,-76.92815999999993
Fort Davis Park,38.86794000000003,-76.94492999999994
Fairfax Village,38.86372000000006,-76.95219999999995
Hillcrest,38.859410000000025,-76.95565999999997
Crestwood,38.94187000000005,-77.03988999999996
Mount Vernon Square,38.903940000000034,-77.01989999999995
