Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Fort Stanton,38.85760000000005,-76.97829999999993,Anacostia Community Museum,38.85672843484337,-76.97689924873403,Museum
Fort Stanton,38.85760000000005,-76.97829999999993,Fort Stanton Longhorns Football Field,38.859295079282646,-76.9783503695559,Park
Fort Stanton,38.85760000000005,-76.97829999999993,Fort Stanton Recreation Center,38.857118,-76.97881600000002,Recreation Center
Fort Stanton,38.85760000000005,-76.97829999999993,Fort Stanton Park,38.85754096203132,-76.97826599027789,Park
Fort Stanton,38.85760000000005,-76.97829999999993,Anacostia Art Gallery & Boutique,38.856265,-76.97528100000002,Art Gallery
Congress Heights,38.842900000000036,-77.00056999999998,MLK Deli,38.84356,-76.999808,Deli / Bodega
Congress Heights,38.842900000000036,-77.00056999999998,Popeyes Louisiana Kitchen,38.84486018839271,-76.9971092915508,Fried Chicken Joint
Congress Heights,38.842900000000036,-77.00056999999998,Alabama and MLK Ave SE,38.84319604340418,-76.9987740590992,Intersection
Congress Heights,38.842900000000036,-77.00056999999998,Malcolm X and MLK,38.84314386324706,-76.99874412568812,Road
Congress Heights,38.842900000000036,-77.00056999999998,Capital City Creamery,38.844296,-76.998362,Ice Cream Shop
Congress Heights,38.842900000000036,-77.00056999999998,Mart Liquors Mjc,38.845341,-76.997656,Liquor Store
Congress Heights,38.842900000000036,-77.00056999999998,Mart  Liquor,38.845341,-76.997656,Liquor Store
Congress Heights,38.842900000000036,-77.00056999999998,Shepard Parkway,38.845333,-77.003587,Park
Congress Heights,38.842900000000036,-77.00056999999998,Aureum Solutions,38.84642791748047,-77.00098419189453,IT Services
Congress Heights,38.842900000000036,-77.00056999999998,Vintage Silk Hair Boutique,38.83985137939453,-76.99790954589844,Health & Beauty Service
Congress Heights,38.842900000000036,-77.00056999999998,China Inn Carryout,38.84567247459563,-76.99687864212629,Fast Food Restaurant
Washington Highlands,38.83198000000005,-76.99699999999996,Ferebee Hope Recreation Center,38.832526,-76.995676,Basketball Court
Washington Highlands,38.83198000000005,-76.99699999999996,Chesapeake Big Market,38.82894134521485,-76.99820709228516,Grocery Store
Washington Highlands,38.83198000000005,-76.99699999999996,SouthSide Wardrobe Studio,38.835632665098856,-76.99433235714673,Costume Shop
Washington Highlands,38.83198000000005,-76.99699999999996,Oxon Run Park,38.83550728492639,-77.00037136082703,Park
Bellevue,38.82654000000008,-77.00869999999998,Domino's Pizza,38.830851,-77.008078,Pizza Place
Bellevue,38.82654000000008,-77.00869999999998,Evan's Shoe Repair,38.82973666419669,-77.00601236747275,Shoe Repair
Bellevue,38.82654000000008,-77.00869999999998,Eddies,38.830711364746094,-77.00800323486328,Chinese Restaurant
Bellevue,38.82654000000008,-77.00869999999998,Murry's,38.83078352022032,-77.00791888971129,Grocery Store
