Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Upper Manhattan,40.80881000000005,-73.94776999999993,Artist & Craftsman Supply,40.80937462916481,-73.94799261517096,Arts & Crafts Store
Upper Manhattan,40.80881000000005,-73.94776999999993,Studio Museum in Harlem,40.808649211560656,-73.94747119243361,Art Museum
Upper Manhattan,40.80881000000005,-73.94776999999993,Apollo Theater,40.80986187551454,-73.95018783469122,Theater
Upper Manhattan,40.80881000000005,-73.94776999999993,babbalucci,40.80887484053778,-73.94479602674905,Pizza Place
Upper Manhattan,40.80881000000005,-73.94776999999993,Delhi Masala,40.80800900000001,-73.948587,Indian Restaurant
Upper Manhattan,40.80881000000005,-73.94776999999993,Tropical Grill & Restaurant,40.81058282877706,-73.94716996454274,Spanish Restaurant
Upper Manhattan,40.80881000000005,-73.94776999999993,Red Rooster,40.8080269631909,-73.94482071443792,Southern / Soul Food Restaurant
Upper Manhattan,40.80881000000005,-73.94776999999993,Whole Foods Market,40.80778099697608,-73.9459228655522,Grocery Store
Upper Manhattan,40.80881000000005,-73.94776999999993,Harlem Shake,40.807050027706815,-73.94609916624623,Burger Joint
Upper Manhattan,40.80881000000005,-73.94776999999993,Sottocasa Pizzeria,40.8055501318289,-73.94743518730202,Pizza Place
Upper Manhattan,40.80881000000005,-73.94776999999993,Ginny's Supper Club,40.80825042375865,-73.9451506806261,Comfort Food Restaurant
Upper Manhattan,40.80881000000005,-73.94776999999993,Harlem Yoga Studio,40.807076978166926,-73.94400969156641,Yoga Studio
Upper Manhattan,40.80881000000005,-73.94776999999993,Cove Lounge,40.80871792962503,-73.94519638837698,Lounge
Upper Manhattan,40.80881000000005,-73.94776999999993,Jacob Restaurant,40.810218853660714,-73.94375470546755,Southern / Soul Food Restaurant
Upper Manhattan,40.80881000000005,-73.94776999999993,Planet Fitness,40.80913224167501,-73.94876469325624,Gym / Fitness Center
Upper Manhattan,40.80881000000005,-73.94776999999993,Sugar Monk,40.808919,-73.951737,Cocktail Bar
Upper Manhattan,40.80881000000005,-73.94776999999993,Harlem Haberdashery,40.806143842705076,-73.94692015066336,Boutique
Upper Manhattan,40.80881000000005,-73.94776999999993,Blick Art Materials,40.810065414815305,-73.95025347544572,Arts & Crafts Store
Upper Manhattan,40.80881000000005,-73.94776999999993,Blink Fitness,40.810539003868854,-73.9514604191301,Gym
Upper Manhattan,40.80881000000005,-73.94776999999993,Olive Garden,40.80790939349585,-73.94623046733338,Italian Restaurant
Upper Manhattan,40.80881000000005,-73.94776999999993,Paris Blues,40.806536189599136,-73.9501258792097,Jazz Club
Upper Manhattan,40.80881000000005,-73.94776999999993,Sylvia's Restaurant,40.8087053870612,-73.9447254331518,Southern / Soul Food Restaurant
Upper Manhattan,40.80881000000005,-73.94776999999993,Victoria’s Secret,40.807987,-73.946624,Lingerie Store
Upper Manhattan,40.80881000000005,-73.94776999999993,Carter's,40.809689,-73.948886,Kids Store
Upper Manhattan,40.80881000000005,-73.94776999999993,Lenox Coffee,40.810161150818594,-73.94324746240666,Coffee Shop
Upper Manhattan,40.80881000000005,-73.94776999999993,Harlem Ale House,40.809334,-73.944863,Bar
Upper Manhattan,40.80881000000005,-73.94776999999993,Yuzu,40.80949236048141,-73.94424679794078,Sushi Restaurant
Upper Manhattan,40.80881000000005,-73.94776999999993,Chaiwali Harlem,40.80680791172175,-73.94599425429384,Café
Upper Manhattan,40.80881000000005,-73.94776999999993,Aloft Harlem,40.809071100000004,-73.9515102,Hotel
Upper Manhattan,40.80881000000005,-73.94776999999993,Bath & Body Works,40.807881,-73.946267,Cosmetics Shop
Upper Manhattan,40.80881000000005,-73.94776999999993,Les Ambassades Senegalais Bistro,40.80924480774686,-73.94467238180226,African Restaurant
Upper Manhattan,40.80881000000005,-73.94776999999993,House of Hoops,40.8099241,-73.951116,Sporting Goods Shop
Upper Manhattan,40.80881000000005,-73.94776999999993,Corner Social,40.80849909532957,-73.94512095975647,American Restaurant
Upper Manhattan,40.80881000000005,-73.94776999999993,Gin Fizz Harlem,40.80803730797317,-73.94533642397197,Cocktail Bar
Upper Manhattan,40.80881000000005,-73.94776999999993,DSW Designer Shoe Warehouse,40.810553999999996,-73.95145699999999,Shoe Store
Upper Manhattan,40.80881000000005,-73.94776999999993,Sushi Inoue,40.81034211038753,-73.94372260153362,Sushi Restaurant
Upper Manhattan,40.80881000000005,-73.94776999999993,AT&T,40.80784506318741,-73.94499823145635,Mobile Phone Shop
Upper Manhattan,40.80881000000005,-73.94776999999993,Cheri,40.80570644473435,-73.94740039536805,French Restaurant
Upper Manhattan,40.80881000000005,-73.94776999999993,Caribbean Starr,40.807083,-73.94566400000001,Caribbean Restaurant
Upper Manhattan,40.80881000000005,-73.94776999999993,Barawine,40.804493797733436,-73.94775576922707,Wine Bar
Upper Manhattan,40.80881000000005,-73.94776999999993,Chez Lucienne,40.80802808886897,-73.94531571926305,French Restaurant
Upper Manhattan,40.80881000000005,-73.94776999999993,Archer & Goat,40.804398,-73.94841600000002,Restaurant
Upper Manhattan,40.80881000000005,-73.94776999999993,Maison Harlem,40.8121095912697,-73.95172150373327,French Restaurant
Upper Manhattan,40.80881000000005,-73.94776999999993,Flamekeepers Hat Club,40.807503,-73.952325,Men's Store
Upper Manhattan,40.80881000000005,-73.94776999999993,Unity Yoga,40.812334804301216,-73.95112597437243,Yoga Studio
Upper Manhattan,40.80881000000005,-73.94776999999993,Manna's Soul Food & Salad Bar,40.810973966246536,-73.95076525636411,Southern / Soul Food Restaurant
Upper Manhattan,40.80881000000005,-73.94776999999993,American Eagle Store,40.8078248,-73.94619209999999,Clothing Store
Upper Manhattan,40.80881000000005,-73.94776999999993,Cantina Taqueria & Tequila Bar,40.80884308065636,-73.94482722669478,Mexican Restaurant
Upper Manhattan,40.80881000000005,-73.94776999999993,Angel Of Harlem,40.80814349470717,-73.9525769683454,Caribbean Restaurant
Upper Manhattan,40.80881000000005,-73.94776999999993,BTL Wines & Spirits,40.81195378843727,-73.95132275814174,Wine Shop
Upper Manhattan,40.80881000000005,-73.94776999999993,Nabe Underground Lounge,40.81158722957221,-73.95050306430335,Lounge
Upper Manhattan,40.80881000000005,-73.94776999999993,GNC,40.8097,-73.9489,Supplement Shop
Upper Manhattan,40.80881000000005,-73.94776999999993,121 Lenox Gourmet Deli,40.805119912066026,-73.94736270469411,Deli / Bodega
Upper Manhattan,40.80881000000005,-73.94776999999993,Burlington,40.808182118498785,-73.9468387743595,Department Store
Upper Manhattan,40.80881000000005,-73.94776999999993,Carol's Daughter Flagship,40.80683343126935,-73.94329820758783,Cosmetics Shop
Upper Manhattan,40.80881000000005,-73.94776999999993,Oberia Dempsey Center,40.809663633071104,-73.94574635727281,Theater
Upper Manhattan,40.80881000000005,-73.94776999999993,New Amsterdam Musical Association,40.811374,-73.94374599999998,Jazz Club
Upper Manhattan,40.80881000000005,-73.94776999999993,Harriet Tubman Memorial,40.80819634754918,-73.952133151624,Plaza
Upper Manhattan,40.80881000000005,-73.94776999999993,Vintage Harlem Wine & Spirits,40.80745428707828,-73.9531254516652,Wine Shop
Upper Manhattan,40.80881000000005,-73.94776999999993,MAC Cosmetics,40.80917991495953,-73.94864026009954,Cosmetics Shop
Upper Manhattan,40.80881000000005,-73.94776999999993,Harlem Seafood Soul,40.81126987492455,-73.95228744453648,Food Truck
Upper Manhattan,40.80881000000005,-73.94776999999993,Maysles Cinema,40.80928755239597,-73.94457983859199,Movie Theater
Upper Manhattan,40.80881000000005,-73.94776999999993,Chase Bank,40.807570899999995,-73.9442942,Bank
Upper Manhattan,40.80881000000005,-73.94776999999993,Raw Space,40.806771057710094,-73.94988178607998,Art Gallery
Upper Manhattan,40.80881000000005,-73.94776999999993,Jimbo's Hamburger Palace,40.80744793091153,-73.94581783206463,Burger Joint
Upper Manhattan,40.80881000000005,-73.94776999999993,CVS pharmacy,40.81060034868126,-73.95252941001446,Pharmacy
Upper Manhattan,40.80881000000005,-73.94776999999993,Subway Sandwiches,40.80935827876344,-73.94432873331985,Sandwich Place
Upper Manhattan,40.80881000000005,-73.94776999999993,Atmos,40.809152697780654,-73.9486744900282,Clothing Store
Upper Manhattan,40.80881000000005,-73.94776999999993,Chipotle Mexican Grill,40.807292,-73.94508,Mexican Restaurant
Upper Manhattan,40.80881000000005,-73.94776999999993,T-Mobile,40.80735758805221,-73.94394010305405,Mobile Phone Shop
Upper Manhattan,40.80881000000005,-73.94776999999993,Pelham Fritz Recreation Center,40.80499033976023,-73.94495129585265,Recreation Center
Upper Manhattan,40.80881000000005,-73.94776999999993,Party City,40.810331712951466,-73.9513696703744,Miscellaneous Shop
Upper Manhattan,40.80881000000005,-73.94776999999993,Asian Fusion,40.807864,-73.948691,Japanese Restaurant
Upper Manhattan,40.80881000000005,-73.94776999999993,ALDO,40.809421,-73.950022,Shoe Store
Upper Manhattan,40.80881000000005,-73.94776999999993,Insomnia Cookies,40.807037,-73.943444,Dessert Shop
Upper Manhattan,40.80881000000005,-73.94776999999993,Gap Factory Store,40.80972820305514,-73.95064364537744,Clothing Store
Upper Manhattan,40.80881000000005,-73.94776999999993,Papa John's Pizza,40.80888748168945,-73.94513702392578,Pizza Place
Upper Manhattan,40.80881000000005,-73.94776999999993,Harlem Holistic Center,40.81002990374954,-73.94483887388094,Gym
Upper Manhattan,40.80881000000005,-73.94776999999993,MAC Cosmetics,40.808978100000004,-73.94879159999999,Cosmetics Shop
Upper Manhattan,40.80881000000005,-73.94776999999993,The Childrens Place,40.80953682285005,-73.94980772228409,Kids Store
Upper Manhattan,40.80881000000005,-73.94776999999993,Apollo Music Cafe,40.80988928991728,-73.95034224983482,Record Shop
Upper Manhattan,40.80881000000005,-73.94776999999993,Savann,40.80852768114777,-73.95242751514067,Turkish Restaurant
Upper Manhattan,40.80881000000005,-73.94776999999993,Mattress Firm,40.80859375,-73.9482192993164,Mattress Store
Upper Manhattan,40.80881000000005,-73.94776999999993,Banana Republic Outlet,40.80995916135693,-73.95044485439756,Clothing Store
Upper Manhattan,40.80881000000005,-73.94776999999993,Capital One Bank,40.8106538,-73.95108559999998,Bank
Upper Manhattan,40.80881000000005,-73.94776999999993,GameStop,40.810687756218854,-73.95224713059991,Video Game Store
Upper Manhattan,40.80881000000005,-73.94776999999993,"Freddy's Soul Caribbean Restaurant, Inc.",40.80518114388907,-73.95116380569087,Caribbean Restaurant
Upper Manhattan,40.80881000000005,-73.94776999999993,Nabe Harlem,40.81160254535066,-73.95040183786907,Japanese Restaurant
